url,index,error_msg,ans1,ans2
HBguzEN1Q0E,519,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""To discuss the criticism of Munmyeonhwa for being slow and his newly written work titled 'Today's Masterpiece'."",
  ""key_entities"": [""문명화""],
  ""confidence_score"": 0.8
}",Didn't Answered
vNAQCbo7Qz0,527,timed out,"{
  ""content_tone"": 1,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
RNsv_5d3oNg,608,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Explain the historical reasons for the eradication of Christianity in Japan, focusing on religious persecution during the Sengoku period and the Edo shogunate."",
  ""key_entities"": [""일본"", ""기독교"", ""전국시대"", ""에도막부""],
  ""confidence_score"": 0.85
}",Didn't Answered
ZICCDW8q32Q,618,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Explain the process that led to Somalia's collapse"",
  ""key_entities"": [""Somalia""],
  ""confidence_score"": 0.9
}",Didn't Answered
BWeWmAA5cZQ,635,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""전쟁이 손해 보는 장사가 된 이유와 1차대전 참호전의 충격적인 사실을 설명하고자 함"",
  ""key_entities"": [""1차대전""],
  ""confidence_score"": 0.7
}",Didn't Answered
0iCYvondcLM,734,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""To announce that the party scandal has ended with Han Dong-hoon's involvement."",
  ""key_entities"": [""한동훈""],
  ""confidence_score"": 0.8
}",Didn't Answered
OwK6r5VPDew,767,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Yoo Si-min’s warning about a video was acknowledged by the presidential office."",
  ""key_entities"": [""유시민"", ""대통령실""],
  ""confidence_score"": 0.85
}",Didn't Answered
S-0bVM53was,769,timed out,Didn't Answered,"{
  ""recovered_intent"": ""Yoon Suk-yeol’s angry statement and explosive testimony that caused a court to flip"",
  ""comment_tone"": 9,
  ""is_contaminated"": true,
  ""context_bridge"": ""The video title centers on Yoon Suk-yeol’s statement, but the comments overwhelmingly criticize Judge Ji Gwi-yeon’s conduct, showing a clear mismatch between the intended topic and the audience reaction."",
  ""representative_comments"": [
    ""지귀연은 이 사건의 심각성을 아예 못 느끼고 있다"",
    ""판사 진짜 자격없다 특판 꼭 가자"",
    ""내란 재판부가 시급하다"",
    ""지귀연 감사은 무순??토를 단다??진짜 스스로 책임감은 있는건가??"",
    ""판사가 변호사를 설득하고 있다. 개난장이네. 내란재판부가 답이다!!""
  ]
}"
-dmLlrQdJ4M,806,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""국민의힘이 한동훈 가족 정보를 확인하도록 요구하고, 친한계가 인격살인이라고 주장한 사건을 보도"",
  ""key_entities"": [""국민의힘"", ""한동훈"", ""친한계"", ""내홍""],
  ""confidence_score"": 0.85
}",Didn't Answered
yVot_4ugtFw,809,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Li government shifting focus to Taiwan and provoking Dokdo, and taking first conciliatory stance towards Japan."",
  ""key_entities"": [""중국 정부"", ""대만"", ""독도"", ""일본""],
  ""confidence_score"": 0.8
}",Didn't Answered
LXGUoAzNsIE,821,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""Show Kim Gun-mo reacting in a way that makes him speechless."",
  ""key_entities"": [""김건모""],
  ""confidence_score"": 0.7
}",Didn't Answered
lPGNKhNT3Ws,879,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""The video reveals a secret about a top‑grade hand that was trained, which is considered weird."",
  ""key_entities"": [],
  ""confidence_score"": 0.4
}",Didn't Answered
iVWrxcrraW8,919,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""Report on the Unification Church recording file revealing an attempt to contact Jeong Jin-sang, including Na Kyung-won's direct call, and the court's 'Yukseong' disclosure."",
  ""key_entities"": [""통일교"", ""정진상"", ""나경원"", ""재판서""],
  ""confidence_score"": 0.85
}",Didn't Answered
MhXBmLKbFik,921,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""In Yohan's resignation from his parliamentary seat and his strong statement to the National Party."",
  ""key_entities"": [""인요한"", ""국민의힘""],
  ""confidence_score"": 0.9
}",Didn't Answered
znUYsTkHcqI,971,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.4
}",Didn't Answered
DnjY9PH3MLE,1019,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""전달하려는 핵심 메시지는 1인 가구가 800만 명을 넘어섰으며, 과반수는 외롭지 않다고 응답했다는 사실을 알리는 것"",
  ""key_entities"": [""1인 가구""],
  ""confidence_score"": 0.9
}",Didn't Answered
H1zQ9JnNyTE,1025,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""Report on Na Kyung-won's use of a wireless microphone during a filibuster that began with conflict."",
  ""key_entities"": [""나경원""],
  ""confidence_score"": 0.8
}",Didn't Answered
ddy4hacHzk4,1194,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Explaining the resignation of National People Power Party member In Yohan over Yoon Seok-yeol's politics and the cold reaction from netizens."",
  ""key_entities"": [""윤석열"", ""국민의힘"", ""인요한""],
  ""confidence_score"": 0.85
}",Didn't Answered
BtmDYY8osmA,1244,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [""김용민"", ""김완"", ""오혁진"", ""김승원"", ""노영희"", ""신용한"", ""주진우"", ""박종찬"", ""주식아가방"", ""겸손공장""],
  ""confidence_score"": 0.2
}",Didn't Answered
NINdCcyUduA,1253,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Coupang's lawsuit against its US headquarters and critique of media coverage by Jo Jin-woong, Park Na-rae, and Jo Se-ho."",
  ""key_entities"": [""정준희"", ""쿠팡"", ""조진웅"", ""박나래"", ""조세호""],
  ""confidence_score"": 0.85
}",Didn't Answered
r1G0-zA4Aw0,1379,timed out,"{
  ""content_tone"": 8,
  ""intent"": ""Providing breaking news coverage of multiple political and military events, including Minister Jeon Jae-soo's fall, An Busu's arrest warrant dismissal, 707 Special Task Force leader's testimony causing opposition flip, US retaliation, and Osaek base entrance control revocation."",
  ""key_entities"": [""전재수 장관"", ""안부수"", ""707특임단장"", ""Opposition"", ""미국"", ""오산기지""],
  ""confidence_score"": 0.9
}",Didn't Answered
UsstrItJemE,1401,timed out,Didn't Answered,"{
  ""recovered_intent"": ""김민석이 서울시에 문제를 제기하고 ‘받들어 총’ 사건에 대한 경위 설명을 요구하는 내용 전달"",
  ""comment_tone"": 3,
  ""is_contaminated"": false,
  ""context_bridge"": ""영상 주제와 댓글이 전혀 일치하지 않음. 댓글은 거없 채널 부활을 축하하는 내용으로, 영상의 정치적 이슈와 무관하다."",
  ""representative_comments"": [
    ""거없 채널 부활 축하드려요^^"",
    ""거없 님 축하드립니다 !!!!"",
    ""거없의 부활한 채널, 신설한 채널 모두 구독한 사람으로서 넘넘 축하합니다!!!"",
    ""거없 채널 부활 ㅊㅋㅊㅋ. 더 놀려먹어야하는데 살짝 아쉬움"",
    ""거없 님 채널 둘다 구독했는데 다 유지할께요 거없님 내린머리보다 지금 헤어스타일이 훨씬 더 잘 어울리네요""
  ]
}"
J1nX3zsaBjs,1449,timed out,"{
  ""content_tone"": 1,
  ""intent"": ""Apologizing for a mistake or wrongdoing"",
  ""key_entities"": [""사망여우""],
  ""confidence_score"": 0.8
}",Didn't Answered
UTJBrDsQH68,1453,timed out,"{
  ""content_tone"": 1,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
M-kN_b5Z7LA,1456,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.3
}",Didn't Answered
xBZOgA5W9GQ,1462,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""사기 업체를 폭로하고 시청자에게 경고"",
  ""key_entities"": [],
  ""confidence_score"": 0.75
}",Didn't Answered
zBd5RxilAzk,1467,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.3
}",Didn't Answered
BxtwwLjOPLE,1468,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
jJ4bF0UzBu4,1469,timed out,"{
  ""content_tone"": 1,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
yNNv2uXeySI,1474,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [""경찰""],
  ""confidence_score"": 0.3
}",Didn't Answered
pVn7np-yJRM,1477,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
6r0vrHpBeBQ,1487,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""Explaining the motivations for continuing to produce YouTube content despite challenges."",
  ""key_entities"": [],
  ""confidence_score"": 0.9
}",Didn't Answered
RSRquHcQF4k,1489,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""Expose a scam company and educate viewers about the fraud"",
  ""key_entities"": [],
  ""confidence_score"": 0.85
}",Didn't Answered
qxYBiXMBH5A,1590,timed out,"{
  ""content_tone"": 8,
  ""intent"": ""박형명 변호사의 법왜곡죄에 대한 강력한 비판과 법 왜곡 결정권에 대한 의문 제기"",
  ""key_entities"": [""박형명""],
  ""confidence_score"": 0.85
}",Didn't Answered
jBmEAPvAGS0,1721,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""Report on sanctions affecting Putin's finances and the opening of land and sea routes, highlighting the impact on Russia's economy."",
  ""key_entities"": [""푸틴""],
  ""confidence_score"": 0.7
}",Didn't Answered
Q8TSy33hCI8,1764,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""Criticize South Korean military and police for trivializing or mocking something, and call on China to observe basic courtesy."",
  ""key_entities"": [""South Korean military"", ""South Korean police"", ""China""],
  ""confidence_score"": 0.8
}",Didn't Answered
66WhKkui2Qc,1889,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""공수처가 조희대 대법원장에 직권남용 혐의로 입건한 사실과 고발 내용 전달"",
  ""key_entities"": [""공수처"", ""조희대"", ""대법원장""],
  ""confidence_score"": 0.9
}",Didn't Answered
qRTxJfTblV8,1926,timed out,"{
  ""content_tone"": 7,
  ""intent"": ""Park Narae's big scandal that was previously denied has now been revealed"",
  ""key_entities"": [""박나래""],
  ""confidence_score"": 0.6
}",Didn't Answered
bRTOgjW_MRw,1953,timed out,"{
  ""content_tone"": 7,
  ""intent"": ""Han Dong-hoon's political career ends; the party audit committee announces shocking news; Jang Ye-chan returns."",
  ""key_entities"": [""한동훈"", ""당무감사위"", ""장예찬""],
  ""confidence_score"": 0.85
}",Didn't Answered
lxAGp-vVZ14,1958,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""정청래의 당에서의 급격한 왕따와 그에 따른 전락 상황을 전달"",
  ""key_entities"": [""정청래""],
  ""confidence_score"": 0.8
}",Didn't Answered
skHCZmIygeU,1973,timed out,"{
  ""content_tone"": 8,
  ""intent"": ""US scholar's shocking statement about Lee Jae-myung causing international humiliation"",
  ""key_entities"": [""미국"", ""이재명""],
  ""confidence_score"": 0.85
}",Didn't Answered
LnLQXhRprcA,2009,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""To announce that the mother association has taken bold action, the 'barehanded revolution', and to convey the emotional impact."",
  ""key_entities"": [""정태숙"", ""무궁화 어머니회""],
  ""confidence_score"": 0.85
}",Didn't Answered
fD94J4VtLho,2064,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""Present a lecture arguing that Park Chung-hee’s era contributed to democratization"",
  ""key_entities"": [""박정희""],
  ""confidence_score"": 0.8
}",Didn't Answered
zmR4kIohh3Y,2095,timed out,"{  
  ""content_tone"": 4,  
  ""intent"": ""Providing reasons for the anticipated downfall of Lee Jae-myung"",  
  ""key_entities"": [""이재명""],  
  ""confidence_score"": 0.9  
}",Didn't Answered
Cw4lTI2WGzs,2099,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""To question whether the situation being discussed is caused by 서학개미."",
  ""key_entities"": [""서학개미""],
  ""confidence_score"": 0.7
}",Didn't Answered
