url,target,attitude
gLrpPtS5fOw,1,1
JIm_yDnGzw4,3,0
MR8MI4R0vCI,1,1
E4j4KHHCl8Y,3,2
6_VmCnC41n8,3,2
MXCdJSUMjCs,1,0
sUtrX3jLgh4,1,1
7k6r-MVQulw,3,2
ikHXhDQOBpM,1,1
dyB8iqRbYIU,1,1
XDs-Sa-h7R4,1,0
jVRfV2b3sPQ,3,2
iuBAhInoUaM,1,0
lFXSxkqMmKY,1,1
QpSWm_Cp1t8,1,1
w8c2FEOn2NM,3,2
wWBrJHwjilQ,0,1
adaLHtNGoiE,0,1
34yAT1gLoas,3,2
FHexJNHqHM8,3,2
fp2ex9x2B1U,0,3
havSSVokOfk,1,0
RU1c4zXmOfI,0,0
DWmrRViGpzs,3,2
4jTveWaQfu4,0,1
vI3rv679QBo,3,2
OI1ZueE4hLc,3,2
0iCYvondcLM,1,1
icCmOG5PhHY,1,1
79pK9rDSEZY,1,1
fu65obGJNnQ,0,1
bre_itMLpaA,1,0
3rld7H2Eiqo,0,1
CWNIkCAW59k,3,2
Q_DyJC_uB0k,0,1
GGv2iPc_adk,3,2
iBGSQCqP_c4,2,0
iVWrxcrraW8,1,1
HTE0KwQvib4,2,1
ZEQSnXJjWsk,3,2
S9aA1rnxqgI,1,1
lvahl8ZRblw,0,1
QCUZU2VQcHs,1,1
ucS1cp2zg74,1,1
bHZ5OO7oYzg,1,0
V1lJ-i41vxs,2,3
HitEZXqylA4,3,2
EpklfYVUFPM,0,1
SbiRWLcZaj8,1,1
M6RQYXm9S-w,0,1
DD98XGTJ7L0,0,1
5l5lfGqfi9g,1,3
d65Aw49hRuo,3,1
J60Ef53HAQY,0,1
zCJLT7cYJAI,0,1
F4RmdRcnwVo,0,1
h2sIIsiYaOI,1,1
WmM40foQaGI,0,1
c8qW0eVPFdI,3,2
2sajma1DBpA,1,1
lv9rT5PuANs,1,1
kplNH8e8thc,0,1
UZ-nBZJoCN8,1,1
eQR6pXDKEds,1,1
o4Tmt8Bzm9I,1,1
kT1WvUmMF40,1,1
_BJR-sqgB8M,3,2
r4SsChWGlN4,3,2
TwGbJaMhvaU,1,1
R5_mDjX9SbE,0,1
0yANNx7IQJo,1,1
tKdtR8-f6V0,1,1
6ZbjrrN31hI,0,1
NUQpj57qQas,1,1
yMEc-zTwF6A,3,2
MrS3xel_0RM,1,1
saDNkFQR4oQ,0,1
1GGQeR60bic,0,1
JETKtbSAHZ4,1,1
fEpD5LIu3eY,1,1
nzqhud2pWSA,3,2
sd86iihRkX0,0,1
zsiGRZ85Ad4,3,1
_sZAUYdgQr8,0,1
xvgkAFuIdLE,3,2
3_IpZzlhhwk,3,2
f-sDa0wK-AY,3,2
dh_pmlAzdRI,3,2
EyYPLjCAr74,0,1
ZWIwLVRBExo,3,2
0CkH2nqIs0I,3,2
ZWTTTEs5PeU,1,0
yBio5T9iCkk,2,1
2cyMR2zVumM,1,1
oVUHhw2UfD0,0,1
9Dqbotyjw5E,3,2
mnUMxCIx_2I,1,1
RNsv_5d3oNg,3,2
mnEHQ6jsCyE,3,2
NPETKSLiRP0,0,1
sAkCUERW_Ss,1,0
o2mkB2S4Kh0,3,2
w8w95Rh4snM,3,1
pYHc3ly22VE,3,2
YOlA0gUU1xM,3,2
H1tnAK5pjqU,3,2
V7p7pd5PRBA,1,1
izT7BDgx50I,1,1
LqyfEpxkkFU,0,0
4rdDs7xA5iw,1,1
HeUzCwR1Yt0,1,0
sPa_fnQLmZo,1,1
zsqd1pQQfXc,3,2
25GBGeQrOGY,3,1
tl8S5lvhGmw,3,2
RVKZLFd0V58,3,1
uufFVGZSl-M,1,1
uD76mdF5PKk,1,1
zmR4kIohh3Y,0,1
GQQH7g3pnc0,3,2
-YeqLdq7Ic8,0,1
dxjJePrqFV8,0,1
3gao9Z-TPB4,1,1
skPCZ-qFYHc,3,1
NCjCm5GI6rU,1,1
LUsE94jnAfw,0,1
RZ5tqpw4dK4,1,1
17GFgtobnxw,1,0
wFBqIdgandM,0,1
JGhBtbDZJjw,0,0
HDmQUGi0VBI,3,2
E03u8MckZlM,1,1
2IhZdl_FXI0,0,1
eAhrdUq2ql0,1,1
HBguzEN1Q0E,3,2
mWpvPcE_GJ8,1,1
p7eaB_37cXE,3,1
-foEYRkDdYc,1,1
LwRflKW1QXY,1,1
YYuxpvuMO8U,3,1
6r0vrHpBeBQ,3,2
yK0AgSHibYQ,1,1
V9p0LAmwMz0,0,1
whoxTMnT0gw,3,3
9FIkhFEmQNs,3,2
gH8VoQ_hngg,1,1
Z5ZLTpXKNvA,0,1
SQ59mLf9gp0,0,1
6lbg575tZ80,0,1
aEjbrvWuWwM,0,1
t33F_GL_wb0,0,1
LFR1RdJIPk4,1,1
drVR_RXANc0,1,0
DVZjk4RNqhM,0,1
x7u1cnW1Vl4,0,1
OLRthZU2Jro,1,1
-2JG4no_tIw,0,1
I3qiNr4xGeA,3,2
mXVyhtZAlno,0,1
NaZdDeRCdWo,3,0
dEBjgllE4dg,0,1
eRHGxXwhiPw,3,3
GgjsBrVgqHM,3,0
Q6xI2fgZbyw,0,1
SOxG0Iugnws,3,1
mbXZV_8WwVA,1,1
YTaPCSJoOK0,3,2
nylMCGgUfGk,3,2
6WGxrIqOLKU,3,2
odkxX_0ONqk,1,1
hRCFXpOTbog,2,1
3Ropye4eqtA,3,2
2e_f6X-zYco,1,1
Uh4qzdiI0gI,0,1
0nM9vw_x3Uw,0,1
LCQBw2FzRZk,1,1
yDIXFEOOrP0,0,0
2hgcZUnJg9I,3,2
2Qbkp0bJOco,1,3
h2-NJhlEAaY,1,1
rpp9aKn6Hl0,3,1
P_fCUDd2mkU,0,1
VxnVDIErN8k,2,3
onmGkk4T-2s,1,1
tFt6ljfZUjs,3,2
WvX8Gk5KHFc,1,0
eTnKNU4mpvA,3,2
n7aAtQL-WmA,0,1
-cqkKIVMM5M,0,1
HE-LV9kClHw,3,1
06d4lJm9jW0,0,1
MUimfGTiLYI,0,1
iPKctwiQYPw,3,1
_goQVOxZFQA,1,1
3ZV39NRuAKY,1,1
NIiIEAAAerk,3,2
ISfH-rDAvXM,1,3
aus4ktHIu8A,3,2
gL1BXnSb2ek,3,2
0UwrQOyt79g,3,1
HNngrvbBJ-w,0,1
ULV9KZhsJd4,0,0
L5fDEzZiDHk,0,0
XW5oHT7Mi90,3,2
m_nu_UM6Obg,3,2
nMKtVgmfZac,0,1
QHr_j5vYwn8,1,1
aTIq5vOxvY8,1,1
LjjAT-t7FjY,3,2
STq2i1SeD68,3,1
VUFj6e5vbY8,3,1
ai0X3BqenpI,1,1
azN6jJF0ufA,1,1
KcjF2OfUuR4,0,1
QXZ41B0GqX0,1,1
X7gMjTqrRvw,1,1
2nvBe7T5DFc,1,1
rlCMs_Tz1ZQ,1,1
ZNpxNLceBVQ,3,1
ECyCpkeP9ig,0,0
UcOL38BcJsY,0,0
rovs977BKPE,1,1
Ba7kllqDeyk,3,0
DoNti23-ZdU,1,1
htvEVQgNdzo,1,1
ymRFOQOdy3o,1,0
LfexrA7PUt0,3,0
ltqpDC2XQbo,3,2
R5NnqHlfUo0,3,2
Z9PBMnKF7zQ,1,1
uecmgut6-DA,0,1
bvwBVZzj1Gc,3,1
oWyfr02iAmc,0,1
HiE1IvUobsU,3,1
zm5eq-eaK3g,3,1
09bxitcVpQ0,3,2
NiUKxXHC6AQ,2,3
-ACjilT7Z4Y,0,1
WQ_vENh_xM0,3,2
CiHmHJL3e8E,3,2
928n6rCNLts,3,2
3pCpHG-8YZE,0,1
9_C9IwYOL0Q,1,1
p-s_evL3PGU,3,2
789yzjRRXBI,0,1
9RAzg5LOP58,1,1
JHKrhePLXSw,1,1
Z_hBNi8adSg,0,1
2jpfFhP2_e4,1,0
ohYhfEeqo5w,3,1
jBmEAPvAGS0,3,2
LpiBFTrcV-A,3,2
DhxC496oaQo,3,2
LLCAxLiI6wI,3,2
jf9AEXDl_gU,0,1
dJuRAAJ7q5M,2,1
KsIi3N_2TDM,3,2
Kzs5bm5E0do,0,1
7BIg_S0qbwc,0,0
TAPzShN_p6A,2,2
P_Fg3NEe_4c,3,1
oqJccxFcDVg,3,2
MNg3zJRBvJo,3,2
8KZJxyPJYIU,0,1
mPpWa5Pw6Rw,3,2
SwQfHZJi_UI,1,1
Fem0ksQ6xbE,1,0
RB4znCF3KaU,3,2
aXnE-7RL2pw,3,2
0rDnjBnftvg,1,1
I-nnR-SFoBE,3,2
KXHaxLjTVgY,0,1
KNp0Pzr_7dQ,1,1
bH1zWMWvfKU,1,1
-2IhBhPTaeA,0,1
3Y1al8TBLLE,3,2
RA77hSQnjdU,0,1
3k-mdW88nMw,1,1
K68Vef5vwLQ,1,1
HU3xpUdhU_4,1,1
N6Ov5jmet38,1,1
5gSjSwAMRkg,3,2
KEoF8su6kf0,1,0
2Kf9cl60mXo,1,1
uhHvsIJNLMU,3,0
BWeWmAA5cZQ,3,2
aCb-bCzbNms,1,1
M92eoXDrJfc,1,0
ebLvTZ5tyGc,0,1
qejW2BqIt1I,0,0
IghcYKSGZNA,1,1
FoAIqud9JNU,1,0
3KGQSOOPZl4,0,0
liEag2kZIAQ,3,1
gccCIi5MFJQ,3,2
zkzuFvL7UWo,3,2
AW2FbEGiDy4,1,1
cm3IGKUQtrk,1,1
IfNJpR6YlQk,1,1
HQfuAmvu3iQ,0,0
lxM5VIm_Gf0,3,1
aYRq8VXLY0c,0,1
dCpX4jUMeJQ,1,1
pCr4CGiI9Y0,1,1
faU2UC6XoYM,1,1
tK1ei8iA8rw,0,1
A3Y05VBLhok,0,1
OV9sVC_bBG4,3,2
_rpdG7IVt7g,3,2
CBb15Xcjc1w,3,1
GCyMAiZ4n9c,3,1
H_wKtlbbnJY,1,0
HbrmxpWeOi0,1,1
BRrCOt99zNs,0,0
kQarZZIBMKY,1,1
7OzMIeXiAi0,0,0
-iUoGreYT4Q,1,1
AJItqK-T_NE,0,1
TmodbMNn-zs,1,1
T6mbW6mutls,3,2
vdfsqSd3InI,0,1
MBT4XkJuHFo,0,3
i4gm2__F52Q,0,1
oxkmmH6EERY,0,1
AnQXbJNt_FQ,1,1
jpvcDMOwo40,0,1
DApEbmnTDXE,0,1
mJXyEQvXMGg,0,1
CPF2ATk5fdk,0,1
tnmxHkBTsUE,2,1
bi9k9I8w4B8,0,1
0rkvt8TubIQ,3,1
U_U4KjQdpZY,1,1
MyyWq21M5aI,3,2
NINdCcyUduA,1,1
KikYPXdcYl4,1,0
MgMyJzGZ05g,3,2
wFxeUBmy4yk,1,1
zQTSQbh89jw,0,1
WtLbdyvWl-U,3,1
IiyZkzeP44A,1,1
4v6cVAurXhg,0,1
f0mTqtJxzho,3,2
IA4G3QumW7g,1,1
zXMBqkSbsG4,0,1
9ZE97WcPEnA,3,2
c8KDtRmfNsA,3,1
21UJQOI0m8w,3,0
lsn_jy1vXr0,0,0
5c-8FbvtBIE,3,2
sQwee0Yh0Gg,1,0
pp-yrt0AlNE,0,1
ZPL2hBKWU9U,0,1
ahUMlZjfekA,0,1
RejBMhDFAQw,1,1
CnWH8DOKhQ4,1,1
T1urULMaqGY,3,2
Ie1HkyiFAWk,0,1
vNAQCbo7Qz0,1,1
IBnzXiSOtPg,0,0
j449TNmgHlc,0,1
vyevjf_Rqgs,0,0
9kbq5R948x8,3,2
Nakonery16c,3,1
bF2b3AsjWPc,1,1
SO1vNnYUil4,0,1
YXzg1848vVk,3,1
N1gzNR1ml6Q,3,2
LTg6TIFJQM8,3,1
-KSiJZGIthw,1,3
Opzxmps4bFY,3,2
-LXj_RJ-iUQ,0,1
FygkTR5a3Xo,1,1
sJ56CG0R3mY,3,2
jzT2bihxbA4,3,2
U7ns6cchahk,3,2
qIaUoGjklNU,3,2
ySztgCtSZho,0,1
4nSU5GY7GuI,0,1
5ZUid8c-peg,0,1
dsYm2lOJ-e8,1,1
mQX9AdZGCAc,1,1
zfY_Za83I1A,0,1
C01P8MS158s,3,1
3Btnh41mWDo,0,1
9OTvoFDMmf4,0,1
JavrVmSk8uY,1,1
y9qtv1omcIw,1,0
sZBS0Zr1qDg,3,2
oS49BuQ_zqM,3,3
ytbEkMaC988,1,3
J5u2UBuyoxw,3,2
njvtpkOtsfQ,3,2
whcUX75PMEQ,1,1
3baIOI4MOKg,3,2
zJY9oxJS3cI,3,2
YlONSkbi1oA,0,1
GLxKSy59Gn4,1,1
7RIzF8iutsQ,0,1
8DLru9nAz0g,3,2
vZK7qIfLJXs,1,1
bvAG4YQrNgw,3,2
YulD0BrVPJ8,0,1
FdkSrY7MnEg,3,1
UI8UOySfP_I,0,1
1DL8lJyoM1g,0,0
OczzYEBK7Lc,3,2
eK1V7c4ZTGM,3,1
l4a99pWTAjI,1,0
vUJc1uBVyqo,3,2
cfCAxHUDmVU,1,0
w6DsLoF0Tsc,0,1
7Vffvj9ZkGY,3,2
LSyntWYQ980,1,1
rfXw--vIMYU,3,1
Wphwz8InL5M,3,2
MzNa8K_D0YQ,0,1
X6-84tHENhg,1,1
tB-gV_KnEFY,3,2
FO4MfH_UHIE,3,2
Np_dpt1MdTg,3,2
HIP3yOL6VoI,0,1
bSQDI9SliQk,0,1
wOf6tdAsMFo,1,1
TfBqjtOSfi8,0,1
FOFpydHyDaw,3,2
b04OPRODGEY,1,1
ATbZMaUNxuM,1,1
ZtWndRAtgjw,3,1
Ozr_8xALz00,0,0
6YxSqPHVhWg,3,2
DbMDCMwGE8E,3,0
KGeEyI735eY,3,2
kleO7_RzM5I,0,1
Z3_aNtvt5uM,3,2
pOy5-_lqbvw,0,3
iE7Ej7Ahy6M,3,2
T-e1TRcqKYk,3,2
t2NxVYEDDzg,1,1
lqDGtVEor48,1,1
409STWVEfLg,1,0
842wsphi6Zc,3,1
hcpuVJ3aueU,3,2
khbajA-_7Bg,3,2
xHlJkU23cy8,0,1
NdfG0OJYHuU,1,1
5cqmULZdf_M,3,2
aDRgvR5lap8,1,1
noZsufRRyJU,3,2
AP2mwMrhAfY,0,1
l77cKneI22Y,3,2
sRtYxYhJgSc,0,1
EqgbKfaWu4U,3,2
nshxoUrmL1U,1,1
JMKWWKaozdQ,2,3
Z7wrxihHwVw,0,0
c-gEwXEwKes,3,2
UHCtV6CthXo,1,1
WLKvo6DSePU,0,1
VScFq9yRMNM,3,2
XoRzl3CdYE0,3,2
oQCqE9amc0k,3,2
eD_Z_JbfOPM,3,2
a4BdAVFXdZU,0,1
WfQCwE2hdPw,3,2
zpqhGeX-ZL0,0,1
DGXOBeqNwTs,1,1
NlYM11BpyVA,0,1
A0bUp0MTzqU,1,1
hepn2wCMCDc,0,1
H1zQ9JnNyTE,2,1
nSYfx-Cq9qo,1,1
k3lGsmf-8_o,1,1
vHPMOk-4bZE,1,1
bBfd6KDzvns,3,2
lPGNKhNT3Ws,3,2
7rcw-ErhPZg,0,0
S1vbqJbxUz0,1,1
hM0fyOV6Y5U,2,3
vyh0p1dIc1U,1,1
TKbA6YHJtFc,0,1
fK1E7NDktD0,3,1
x6gYtikZbEU,1,0
jIQKO6-LGlA,0,1
T58nGcSko08,0,1
Kz_BVW5ioQQ,1,1
AXqactK_Zsk,1,1
obmMhxwdcmc,3,1
hEq8-xs5krU,0,1
JR_3Vo0e5Kk,0,0
aKgYdpVGwhk,3,2
6WWBKfLs_uk,0,1
1faB8nvpi4g,3,1
Idug9Gaj0_Y,0,1
UBek0Ck_lF0,1,1
CrrlwYvuPR0,3,1
AbD8REt0PwY,0,1
BHtg2cthgQE,3,2
jJ4bF0UzBu4,3,2
MglS1xMtktI,1,1
PLzDaztCMjQ,0,1
J6SH-b3tNvs,3,2
YpVS91TEch4,3,1
a4M70JSP0bI,0,1
vvDw1L7cZJs,1,1
wuBGkB17gyo,3,2
RRZ2ifcAXOE,1,1
mzB43x8j1b0,0,1
q2G7gC2SUZ8,0,1
NnKf8Nw0F5U,3,1
YVGbr-zHhLs,3,2
Db6B49EGq4g,0,1
kYOyiOO3OfY,1,0
3B0OGoO1Neo,3,1
uZkna8AHcQU,1,1
sfYJLxcnSY8,1,0
5zz_0knpYbw,3,2
K6Kjzdl4t_0,1,1
dkSSKJjCfHE,0,0
4Mq_onxIOZQ,3,2
u-bsyXaFIgc,1,1
yRhxCez5hXM,0,0
_A2MOmUb754,0,1
bRwEN7SIA0g,3,2
ndeF8wzxTHI,1,1
-Dr1y8BXhck,3,2
IMXFywoH2gg,3,2
hxEmFrb0wWQ,3,2
MJE_35_957k,1,1
sb5XVqkeSa0,0,1
6jT-or_c4Pg,0,1
ROyXpQ93B5o,0,1
o0UedFdicts,1,1
A5XievUyKi4,2,1
H2BMDmQeVOo,1,1
4AtLfs1sVNM,3,2
RJDhF2srLis,0,1
CaYBT2pLMUo,1,0
sXmTZ85oBbU,0,1
ZeNiofsReMI,1,1
HC-nOFctiDA,3,2
_fo3HyFHKNQ,0,1
k_E67lYttXg,3,1
mn1QHm0T2xo,0,1
pB4C7OeG99A,1,1
15AXcNZuwII,1,1
LKyAxzTizpE,3,2
A98KtNyGIL8,0,1
LhYxfk1_ddI,3,2
Bh5qu5L5ai0,3,2
pRq7j_HKiLQ,0,1
nh75ih3o7dw,3,1
8Z6lhvP77JM,3,2
vsACFp18vZk,1,1
yH_6P7zHRb8,3,2
VWjFQ3N6GNA,0,1
nYxGWLLw0Yw,0,0
bIihRkdCBVc,0,0
IWM8qBCPkn8,1,1
DElXWUZOD7c,1,1
0wEBrqHAiW8,3,1
IwxuVTRrzrI,3,1
uD92395JFrc,1,1
46duEVIoIPs,0,1
cGoQcu40J-c,0,1
Kml4GTd5MQg,0,1
4RmrPkPSrKA,1,1
VkvRDFatZQU,3,1
ivEXXuiVqVc,1,1
SEGSbOrAQGk,1,1
m6xEQsuF0NE,1,1
vjtMBgmDHII,0,1
oGfEsmSbu7Q,3,2
POmdw0KB_zw,0,1
2R0I-Ws93CA,2,1
FbmI12xCcgA,1,1
1l4tZ8w7qKY,3,2
81AEXXs8t6A,1,3
vgfqOQ680UM,3,2
wczY_edqX4g,1,1
0OaAdD4V9wM,3,1
2CDjgFoSE0U,3,2
jQVdlA5N2NM,3,1
OXb6hklPvCk,0,1
Vh1wxfM4YnU,0,1
TD7rsSH5t3o,0,1
gS0Coc-535Q,0,0
EdFXbfW9viI,3,2
M5c17VJpTyk,3,1
cwrL-VEjN_I,1,1
T22a-aE1KV4,1,1
BgjMcdU6jLk,3,2
NOaEHvFAXZY,0,1
h7Is_K0YuoY,3,2
TdZ6un-syzM,0,1
a78VoLyA0W8,0,1
buMVSw_E9U8,1,1
FltopJ9t5uc,1,1
jH4UkOC4myY,3,2
RFqpFLVCeTU,3,2
RGMcMpNQSVA,3,2
unFsfRoR7WM,3,1
Do9hFaNSnv4,0,1
a1ljBDMDVGY,0,1
rCuU3Litd7Q,1,1
w9A1BVlIpzc,1,1
DJ28Zg5D9EQ,1,1
8goWGn90Tgk,3,2
3TUhHvaXuCg,1,1
tiUDxyvV0Xc,3,2
o29wXvxgZp8,1,1
xd_sL7ziLcE,0,1
SUieMnNYPpE,0,1
y692L5RmtYw,3,1
9vzIW02cqjE,0,1
z4wJlaiEp1I,1,0
INPW9VTwsgI,0,1
XXkGMaZ7mOQ,1,1
JrlnevKD8hU,1,1
b9M1jlG2z4U,3,2
DHvZsQP5KZs,2,1
CRhWF_wEeVU,1,1
RM5v56dUXsw,3,1
HJiPJlDu7Wg,0,0
VXdenSbk6MA,0,1
QAciKnxGa8w,3,2
ng_1et_GZH0,0,1
6HNj0gxhNio,3,1
S-0bVM53was,1,1
MtMu2azsf0U,3,3
ys7hqj80chg,2,2
JRaoVZBWxp8,0,1
FIAFLyltrbc,0,0
y9E3NEL7vKI,0,1
J9Hdt5mDsd0,3,1
mvjZRNgXikg,3,2
hERMxgHUuZQ,1,1
4ILqwopZ73c,0,0
7yeFZQIBI5Y,3,2
yi3gpQGyKQQ,3,2
Ozi_WEpb58c,1,1
j3r64bn666o,0,1
g-d-1-1VJZM,0,1
BtmDYY8osmA,1,1
AIbc00iOAek,0,1
wyX-JXcRBK4,0,1
dD3oJOb4u64,3,0
eSFWU4dwDzA,0,0
Xn7FopaqP8c,3,1
DgPWueMoUys,1,1
2x7-pZMmS0A,1,1
RuxnuHpWDLI,0,0
6FSjZJAIpFo,3,2
s-22-S-l_YU,1,1
eOSwcipF14U,3,1
ASq8SPWtLjg,1,1
OOgt6cfz6Mc,1,1
E1nQzfqZnBk,1,0
Kwhuenm9CVY,1,1
4eFf2q_v0jQ,3,2
zkKUA1bTvGI,1,0
EEPZh2Z4npc,3,2
JyiRMQ7TBFs,3,2
DpTXQiRkmQ0,1,1
v_FrtqtTTTk,3,2
d76EWw_GiRo,0,1
sTbsTIzwzho,1,1
maB-1XArsbo,0,1
7NQ8y2ka4Ew,3,2
FfnAVp5qVpk,1,1
DZgiBEBsIcE,1,1
OoWMJB1_USw,0,0
I8v-3cQxaIg,1,0
-gWyzgwmSQo,1,0
rH8CPCqd-c4,3,2
N_phPJDChnY,0,1
KSIaxVdFR2A,0,1
DN_Zr1H2vPc,1,1
pVn7np-yJRM,3,2
FThfZV8yW1k,3,2
8C6MTRYn0A4,0,1
5cr8KXH5MV4,1,1
MF9zeqArj2c,3,2
oN9nFPf_56c,1,1
lQN0ZXF9EZk,3,2
7gOVKPeBck8,0,1
sX7Ch2kMdy0,0,1
4I9OTOAej_0,3,2
gw_C4jy9Z20,1,0
9zwtZvkouEw,0,1
LktonYKYHwo,0,3
8RB7cQys2VQ,1,3
p_1wDQ6-XkQ,3,2
jfL1lVB1nTU,0,1
luhUepq7mLY,0,0
Ht64X6RUPR8,1,1
FvU_Xi423YI,1,1
sCKVPVroPDY,0,1
5YnEw1GHDyI,3,2
-3AWL9iKfLk,0,1
SlnAtngMnoA,1,1
OhgGwmUiFCA,3,2
zbn1zsH-fao,3,1
ANSgV05XZ0s,1,1
cxhvyaTLCTc,3,2
7BhiDrSe0Iw,1,1
ZmPmfGu5nR4,3,1
